source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005576,extracellular region,1.3353987656851028e-117,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4249,601,371,22155,0.6173044925124792,0.08731466227347612,query_1,['GO:0110165']
GO:BP,GO:0023052,signaling,1.9744323126663763e-117,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6558,595,459,20972,0.7714285714285715,0.06999085086916743,query_1,['GO:0050789']
GO:BP,GO:0048584,positive regulation of response to stimulus,2.5251852116057436e-116,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2320,595,288,20972,0.48403361344537815,0.12413793103448276,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0007154,cell communication,1.8991274708115547e-115,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6598,595,458,20972,0.7697478991596639,0.06941497423461655,query_1,['GO:0009987']
GO:BP,GO:0006952,defense response,2.8890492700064537e-115,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1883,595,262,20972,0.4403361344537815,0.13913967073818376,query_1,['GO:0006950']
GO:BP,GO:0051239,regulation of multicellular organismal process,1.238779083797811e-114,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2923,595,317,20972,0.5327731092436975,0.108450222374273,query_1,"['GO:0032501', 'GO:0050789']"
GO:MF,GO:0005102,signaling receptor binding,2.188236589805564e-112,True,"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]",1346,594,227,20208,0.38215488215488214,0.1686478454680535,query_1,['GO:0005515']
GO:BP,GO:0002684,positive regulation of immune system process,6.0943569080327334e-111,True,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",1111,595,206,20972,0.346218487394958,0.1854185418541854,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048518']"
GO:BP,GO:0040011,locomotion,1.1670600108671531e-110,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1236,595,215,20972,0.36134453781512604,0.1739482200647249,query_1,['GO:0008150']
GO:BP,GO:0016477,cell migration,2.318162839117198e-109,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1532,595,234,20972,0.39327731092436974,0.15274151436031333,query_1,['GO:0048870']
GO:BP,GO:0051716,cellular response to stimulus,4.741078363822725e-109,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7425,595,475,20972,0.7983193277310925,0.06397306397306397,query_1,"['GO:0009987', 'GO:0050896']"
GO:CC,GO:0005615,extracellular space,2.8175149517351434e-106,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3252,601,316,22155,0.5257903494176372,0.0971709717097171,query_1,"['GO:0005576', 'GO:0110165']"
GO:BP,GO:0048583,regulation of response to stimulus,1.5561881404889633e-105,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,595,354,20972,0.5949579831932773,0.08865514650638617,query_1,"['GO:0050789', 'GO:0050896']"
GO:MF,GO:0038023,signaling receptor activity,4.559873349001911e-105,True,"""Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response."" [GOC:bf, GOC:signaling]",1513,594,231,20208,0.3888888888888889,0.15267680105750164,query_1,['GO:0060089']
GO:MF,GO:0060089,molecular transducer activity,4.559873349001911e-105,True,"""A compound molecular function in which an effector function is controlled by one or more regulatory components."" [GOC:dos, GOC:pdt]",1513,594,231,20208,0.3888888888888889,0.15267680105750164,query_1,['GO:0003674']
GO:BP,GO:0051240,positive regulation of multicellular organismal process,7.219574552097331e-102,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1639,595,233,20972,0.3915966386554622,0.14215985356924954,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:0048518,positive regulation of biological process,2.921353825739235e-100,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6150,595,426,20972,0.7159663865546219,0.06926829268292684,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0032501,multicellular organismal process,2.1659532767612148e-98,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7337,595,460,20972,0.773109243697479,0.06269592476489028,query_1,['GO:0008150']
GO:BP,GO:0006954,inflammatory response,5.6298201066623444e-98,True,"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]",873,595,175,20972,0.29411764705882354,0.2004581901489118,query_1,['GO:0006952']
GO:BP,GO:0048870,cell motility,5.322698696097177e-96,True,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",1794,595,236,20972,0.39663865546218485,0.13154960981047936,query_1,['GO:0009987']
GO:BP,GO:0046649,lymphocyte activation,6.391307186459619e-95,True,"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]",811,595,167,20972,0.280672268907563,0.2059186189889026,query_1,['GO:0045321']
GO:CC,GO:0009897,external side of plasma membrane,7.75208608221294e-94,True,"""The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos, GOC:tb]",397,601,123,22155,0.20465890183028287,0.30982367758186397,query_1,"['GO:0005886', 'GO:0009986', 'GO:0098552']"
GO:BP,GO:0006950,response to stress,9.975565038127555e-94,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3984,595,339,20972,0.5697478991596638,0.08509036144578314,query_1,['GO:0050896']
GO:BP,GO:0006935,chemotaxis,1.17541204223356e-93,True,"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]",456,595,132,20972,0.2218487394957983,0.2894736842105263,query_1,"['GO:0042221', 'GO:0042330']"
GO:BP,GO:0042330,taxis,2.2192480790072147e-93,True,"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]",458,595,132,20972,0.2218487394957983,0.28820960698689957,query_1,"['GO:0009605', 'GO:0040011']"
GO:BP,GO:0048522,positive regulation of cellular process,2.879661820264887e-88,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5739,595,397,20972,0.6672268907563025,0.069175814601847,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0030155,regulation of cell adhesion,4.459657067066331e-88,True,"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]",780,595,158,20972,0.26554621848739496,0.20256410256410257,query_1,"['GO:0007155', 'GO:0050794']"
GO:BP,GO:0050776,regulation of immune response,5.72444270892411e-88,True,"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",970,595,173,20972,0.2907563025210084,0.17835051546391753,query_1,"['GO:0002682', 'GO:0006955', 'GO:0048583']"
GO:BP,GO:0042221,response to chemical,5.2709384791609544e-86,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3863,595,324,20972,0.5445378151260504,0.0838726378462335,query_1,['GO:0050896']
GO:CC,GO:0016020,membrane,2.1399080296970247e-85,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",9975,601,503,22155,0.8369384359400999,0.05042606516290727,query_1,['GO:0110165']
GO:CC,GO:0031982,vesicle,2.613270188776705e-84,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",4032,601,321,22155,0.5341098169717138,0.07961309523809523,query_1,['GO:0043227']
GO:CC,GO:0098552,side of membrane,3.563791831739896e-84,True,"""A cellular component consisting of one leaflet of a membrane bilayer and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos]",731,601,147,22155,0.24459234608985025,0.20109439124487005,query_1,"['GO:0016020', 'GO:0110165']"
GO:BP,GO:0032101,regulation of response to external stimulus,3.824427828202282e-83,True,"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]",1092,595,177,20972,0.29747899159663865,0.1620879120879121,query_1,"['GO:0009605', 'GO:0048583']"
GO:BP,GO:0098609,cell-cell adhesion,2.2037651680703658e-82,True,"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]",965,595,167,20972,0.280672268907563,0.17305699481865286,query_1,['GO:0007155']
GO:BP,GO:0050865,regulation of cell activation,7.823025428611198e-81,True,"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]",627,595,138,20972,0.2319327731092437,0.22009569377990432,query_1,"['GO:0001775', 'GO:0050794', 'GO:0051239']"
GO:BP,GO:0030334,regulation of cell migration,5.353270438451223e-80,True,"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]",944,595,163,20972,0.2739495798319328,0.17266949152542374,query_1,"['GO:0016477', 'GO:2000145']"
GO:BP,GO:0040012,regulation of locomotion,1.388686431732694e-79,True,"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]",1046,595,170,20972,0.2857142857142857,0.16252390057361377,query_1,"['GO:0040011', 'GO:0050789']"
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,1.8059909453129015e-79,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1777,595,216,20972,0.3630252100840336,0.12155317951603826,query_1,['GO:0008150']
GO:BP,GO:0050900,leukocyte migration,1.4950775203507143e-78,True,"""The movement of a leukocyte within or between different tissues and organs of the body."" [GOC:add, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]",386,595,112,20972,0.18823529411764706,0.29015544041450775,query_1,"['GO:0002376', 'GO:0016477']"
GO:BP,GO:0002694,regulation of leukocyte activation,1.4570103540743412e-77,True,"""Any process that modulates the frequency, rate, or extent of leukocyte activation."" [GOC:add]",572,595,130,20972,0.2184873949579832,0.22727272727272727,query_1,"['GO:0002682', 'GO:0045321', 'GO:0050865']"
GO:BP,GO:0002252,immune effector process,1.993660837186099e-77,True,"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",710,595,142,20972,0.23865546218487396,0.2,query_1,['GO:0002376']
GO:BP,GO:2000145,regulation of cell motility,1.140463264206242e-76,True,"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]",1005,595,164,20972,0.27563025210084036,0.16318407960199005,query_1,"['GO:0040012', 'GO:0048870', 'GO:0050794']"
GO:BP,GO:0002697,regulation of immune effector process,4.135254656855327e-76,True,"""Any process that modulates the frequency, rate, or extent of an immune effector process."" [GOC:add]",395,595,111,20972,0.1865546218487395,0.2810126582278481,query_1,"['GO:0002252', 'GO:0002682']"
GO:BP,GO:0007159,leukocyte cell-cell adhesion,5.660653089824955e-75,True,"""The attachment of a leukocyte to another cell via adhesion molecules."" [GOC:go_curators]",413,595,112,20972,0.18823529411764706,0.2711864406779661,query_1,['GO:0098609']
GO:BP,GO:0042127,regulation of cell population proliferation,2.1252976256916526e-74,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1639,595,202,20972,0.33949579831932775,0.12324588163514338,query_1,"['GO:0008283', 'GO:0050794']"
GO:BP,GO:0008283,cell population proliferation,1.2999803495229219e-73,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",1961,595,219,20972,0.3680672268907563,0.11167771545130036,query_1,['GO:0009987']
GO:BP,GO:0042110,T cell activation,2.1234038056555777e-73,True,"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]",581,595,127,20972,0.2134453781512605,0.21858864027538727,query_1,['GO:0046649']
GO:BP,GO:0001816,cytokine production,3.4037515115043276e-73,True,"""The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]",786,595,144,20972,0.24201680672268908,0.183206106870229,query_1,"['GO:0010467', 'GO:0032501']"
GO:BP,GO:0060326,cell chemotaxis,1.3088404956605178e-72,True,"""The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [GOC:dph]",315,595,99,20972,0.16638655462184873,0.3142857142857143,query_1,"['GO:0006935', 'GO:0016477', 'GO:0070887']"
GO:BP,GO:0001817,regulation of cytokine production,1.1128387429636239e-71,True,"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",780,595,142,20972,0.23865546218487396,0.18205128205128204,query_1,"['GO:0001816', 'GO:0010468', 'GO:0051239']"
GO:BP,GO:0050789,regulation of biological process,2.637347373259228e-71,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12397,595,547,20972,0.9193277310924369,0.044123578285068965,query_1,"['GO:0008150', 'GO:0065007']"
REAC,REAC:R-HSA-168256,Immune System,3.903025728156811e-71,True,Immune System,2086,538,284,11056,0.5278810408921933,0.1361457334611697,query_1,['REAC:0000000']
GO:MF,GO:0004888,transmembrane signaling receptor activity,1.3941578228930963e-70,True,"""Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction."" [GOC:go_curators, Wikipedia:Transmembrane_receptor]",1283,594,178,20208,0.2996632996632997,0.1387373343725643,query_1,['GO:0038023']
GO:BP,GO:0040017,positive regulation of locomotion,1.0055379586318064e-69,True,"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]",586,595,124,20972,0.20840336134453782,0.21160409556313994,query_1,"['GO:0040011', 'GO:0040012', 'GO:0048518']"
GO:BP,GO:0030335,positive regulation of cell migration,1.8063534539261238e-69,True,"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]",544,595,120,20972,0.20168067226890757,0.22058823529411764,query_1,"['GO:0016477', 'GO:0030334', 'GO:2000147']"
GO:BP,GO:0050794,regulation of cellular process,3.1204463453606704e-68,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11962,595,535,20972,0.8991596638655462,0.044724962380872764,query_1,"['GO:0009987', 'GO:0050789']"
GO:BP,GO:0050778,positive regulation of immune response,3.852322440063502e-68,True,"""Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",775,595,138,20972,0.2319327731092437,0.17806451612903226,query_1,"['GO:0002684', 'GO:0006955', 'GO:0048584', 'GO:0050776']"
GO:BP,GO:0065007,biological regulation,4.710220793542876e-68,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12804,595,551,20972,0.9260504201680673,0.04303342705404561,query_1,['GO:0008150']
GO:BP,GO:2000147,positive regulation of cell motility,5.908434707518533e-68,True,"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]",571,595,121,20972,0.20336134453781513,0.2119089316987741,query_1,"['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']"
GO:BP,GO:0051249,regulation of lymphocyte activation,7.573980912435081e-68,True,"""Any process that modulates the frequency, rate or extent of lymphocyte activation."" [GOC:ai]",506,595,115,20972,0.19327731092436976,0.22727272727272727,query_1,"['GO:0002694', 'GO:0046649']"
GO:BP,GO:0009607,response to biotic stimulus,2.8713805533885478e-67,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1652,595,194,20972,0.32605042016806723,0.11743341404358354,query_1,['GO:0050896']
GO:BP,GO:0051707,response to other organism,8.906210345595484e-67,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1610,595,191,20972,0.32100840336134456,0.1186335403726708,query_1,"['GO:0043207', 'GO:0044419']"
GO:BP,GO:0043207,response to external biotic stimulus,1.2209987920368087e-66,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",1613,595,191,20972,0.32100840336134456,0.11841289522628642,query_1,"['GO:0009605', 'GO:0009607']"
GO:BP,GO:1901652,response to peptide,2.391645139739574e-66,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]",993,595,152,20972,0.25546218487394956,0.15307150050352467,query_1,['GO:0042221']
GO:CC,GO:0097708,intracellular vesicle,4.04999148369872e-66,True,"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]",2556,601,233,22155,0.3876871880199667,0.09115805946791862,query_1,"['GO:0031982', 'GO:0043231']"
GO:CC,GO:0031410,cytoplasmic vesicle,1.1504413857576823e-65,True,"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]",2548,601,232,22155,0.3860232945091514,0.09105180533751962,query_1,"['GO:0005737', 'GO:0097708']"
GO:BP,GO:0070887,cellular response to chemical stimulus,1.2125880600317446e-65,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2199,595,221,20972,0.37142857142857144,0.10050022737608004,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:0023056,positive regulation of signaling,7.205876064672266e-65,True,"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1779,595,198,20972,0.33277310924369746,0.11129848229342328,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048518']"
GO:BP,GO:0022407,regulation of cell-cell adhesion,8.066846852182345e-65,True,"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell."" [GOC:isa_complete]",493,595,111,20972,0.1865546218487395,0.22515212981744423,query_1,"['GO:0030155', 'GO:0098609']"
GO:BP,GO:0045785,positive regulation of cell adhesion,9.539367765224291e-65,True,"""Any process that activates or increases the frequency, rate or extent of cell adhesion."" [GOC:go_curators]",483,595,110,20972,0.18487394957983194,0.2277432712215321,query_1,"['GO:0007155', 'GO:0030155', 'GO:0048522']"
GO:BP,GO:0009967,positive regulation of signal transduction,1.184394127014382e-64,True,"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]",1569,595,186,20972,0.3126050420168067,0.11854684512428298,query_1,"['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']"
GO:BP,GO:0034097,response to cytokine,1.6140144366344867e-64,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]",979,595,149,20972,0.2504201680672269,0.15219611848825332,query_1,['GO:1901652']
GO:BP,GO:0002696,positive regulation of leukocyte activation,1.487016270637436e-63,True,"""Any process that activates or increases the frequency, rate, or extent of leukocyte activation."" [GOC:add]",363,595,97,20972,0.16302521008403362,0.26721763085399447,query_1,"['GO:0002684', 'GO:0002694', 'GO:0045321', 'GO:0050867']"
GO:BP,GO:0010647,positive regulation of cell communication,2.276157598085719e-63,True,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1778,595,196,20972,0.32941176470588235,0.11023622047244094,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048522']"
GO:BP,GO:1903037,regulation of leukocyte cell-cell adhesion,3.0181251150769384e-63,True,"""Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",375,595,98,20972,0.16470588235294117,0.2613333333333333,query_1,"['GO:0007159', 'GO:0022407']"
GO:BP,GO:0051241,negative regulation of multicellular organismal process,3.6723837136192514e-63,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1091,595,155,20972,0.2605042016806723,0.14207149404216315,query_1,"['GO:0032501', 'GO:0048519', 'GO:0051239']"
GO:BP,GO:0050867,positive regulation of cell activation,1.1993990320025482e-62,True,"""Any process that activates or increases the frequency, rate or extent of activation."" [GOC:ai]",380,595,98,20972,0.16470588235294117,0.2578947368421053,query_1,"['GO:0001775', 'GO:0048522', 'GO:0050865', 'GO:0051240']"
