source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0006952,defense response,5.1949140445647904e-95,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1883,389,193,20972,0.4961439588688946,0.10249601699415826,query_1,['GO:0006950']
GO:CC,GO:0005576,extracellular region,2.542371880424997e-91,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4249,393,260,22155,0.6615776081424937,0.06119086843963285,query_1,['GO:0110165']
GO:BP,GO:0051239,regulation of multicellular organismal process,1.3685455523413182e-89,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2923,389,225,20972,0.5784061696658098,0.0769757098871023,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0048583,regulation of response to stimulus,2.0727937859518407e-85,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,389,252,20972,0.6478149100257069,0.06311044327573254,query_1,"['GO:0050789', 'GO:0050896']"
GO:CC,GO:0009897,external side of plasma membrane,3.0491093671082685e-82,True,"""The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos, GOC:tb]",397,393,98,22155,0.24936386768447838,0.24685138539042822,query_1,"['GO:0005886', 'GO:0009986', 'GO:0098552']"
GO:BP,GO:0051240,positive regulation of multicellular organismal process,7.284867425334535e-82,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1639,389,170,20972,0.4370179948586118,0.10372178157413056,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:0050776,regulation of immune response,7.883611288184591e-82,True,"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",970,389,138,20972,0.35475578406169667,0.1422680412371134,query_1,"['GO:0002682', 'GO:0006955', 'GO:0048583']"
GO:CC,GO:0005615,extracellular space,8.807606453272456e-81,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3252,393,221,22155,0.5623409669211196,0.06795817958179581,query_1,"['GO:0005576', 'GO:0110165']"
GO:BP,GO:0007165,signal transduction,6.566150038254075e-80,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6063,389,295,20972,0.7583547557840618,0.04865578096651822,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:MF,GO:0005102,signaling receptor binding,1.2261953435789581e-78,True,"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]",1346,386,155,20208,0.4015544041450777,0.1151560178306092,query_1,['GO:0005515']
GO:BP,GO:0046649,lymphocyte activation,1.750466720571538e-78,True,"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]",811,389,126,20972,0.32390745501285345,0.15536374845869297,query_1,['GO:0045321']
GO:BP,GO:0006954,inflammatory response,8.204649533047945e-78,True,"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]",873,389,129,20972,0.33161953727506427,0.14776632302405499,query_1,['GO:0006952']
GO:BP,GO:0006950,response to stress,1.4632003226295505e-77,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3984,389,243,20972,0.6246786632390745,0.06099397590361446,query_1,['GO:0050896']
GO:BP,GO:0048518,positive regulation of biological process,1.7006584407331865e-76,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6150,389,293,20972,0.7532133676092545,0.04764227642276423,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0002252,immune effector process,2.498061018686124e-76,True,"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",710,389,118,20972,0.3033419023136247,0.16619718309859155,query_1,['GO:0002376']
GO:BP,GO:0023052,signaling,3.125111203646886e-76,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6558,389,301,20972,0.7737789203084833,0.04589813967673071,query_1,['GO:0050789']
GO:CC,GO:0031982,vesicle,6.800160339765006e-75,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",4032,393,236,22155,0.6005089058524173,0.05853174603174603,query_1,['GO:0043227']
GO:BP,GO:0007154,cell communication,1.225650596612163e-74,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6598,389,300,20972,0.7712082262210797,0.04546832373446499,query_1,['GO:0009987']
GO:CC,GO:0098552,side of membrane,3.213951824195249e-74,True,"""A cellular component consisting of one leaflet of a membrane bilayer and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos]",731,393,115,22155,0.2926208651399491,0.1573187414500684,query_1,"['GO:0016020', 'GO:0110165']"
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,2.1597423206676264e-73,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1777,389,167,20972,0.42930591259640105,0.0939786156443444,query_1,['GO:0008150']
GO:BP,GO:0050865,regulation of cell activation,3.630866275568517e-73,True,"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]",627,389,110,20972,0.2827763496143959,0.17543859649122806,query_1,"['GO:0001775', 'GO:0050794', 'GO:0051239']"
GO:BP,GO:0002697,regulation of immune effector process,3.70676451640721e-73,True,"""Any process that modulates the frequency, rate, or extent of an immune effector process."" [GOC:add]",395,389,93,20972,0.2390745501285347,0.23544303797468355,query_1,"['GO:0002252', 'GO:0002682']"
REAC,REAC:R-HSA-168256,Immune System,8.472786019795295e-73,True,Immune System,2086,357,222,11056,0.6218487394957983,0.10642377756471716,query_1,['REAC:0000000']
GO:BP,GO:0051716,cellular response to stimulus,3.348584079630912e-72,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7425,389,313,20972,0.8046272493573264,0.04215488215488215,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0098609,cell-cell adhesion,3.2367909980461695e-71,True,"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]",965,389,128,20972,0.32904884318766064,0.13264248704663212,query_1,['GO:0007155']
GO:MF,GO:0038023,signaling receptor activity,3.3830436946460537e-71,True,"""Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response."" [GOC:bf, GOC:signaling]",1513,386,155,20208,0.4015544041450777,0.1024454725710509,query_1,['GO:0060089']
GO:MF,GO:0060089,molecular transducer activity,3.3830436946460537e-71,True,"""A compound molecular function in which an effector function is controlled by one or more regulatory components."" [GOC:dos, GOC:pdt]",1513,386,155,20208,0.4015544041450777,0.1024454725710509,query_1,['GO:0003674']
GO:BP,GO:0002694,regulation of leukocyte activation,2.2031921444655682e-70,True,"""Any process that modulates the frequency, rate, or extent of leukocyte activation."" [GOC:add]",572,389,104,20972,0.26735218508997427,0.18181818181818182,query_1,"['GO:0002682', 'GO:0045321', 'GO:0050865']"
GO:BP,GO:0030155,regulation of cell adhesion,3.6582936868983757e-68,True,"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]",780,389,115,20972,0.29562982005141386,0.14743589743589744,query_1,"['GO:0007155', 'GO:0050794']"
GO:BP,GO:0032501,multicellular organismal process,1.6045030442005605e-67,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7337,389,306,20972,0.7866323907455013,0.04170641951751397,query_1,['GO:0008150']
GO:BP,GO:0050778,positive regulation of immune response,2.2200074103127302e-67,True,"""Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",775,389,114,20972,0.2930591259640103,0.14709677419354839,query_1,"['GO:0002684', 'GO:0006955', 'GO:0048584', 'GO:0050776']"
GO:BP,GO:0007159,leukocyte cell-cell adhesion,2.323092022671837e-67,True,"""The attachment of a leukocyte to another cell via adhesion molecules."" [GOC:go_curators]",413,389,90,20972,0.23136246786632392,0.2179176755447942,query_1,['GO:0098609']
GO:BP,GO:0042110,T cell activation,3.9867288123089173e-66,True,"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]",581,389,101,20972,0.2596401028277635,0.1738382099827883,query_1,['GO:0046649']
GO:BP,GO:0016477,cell migration,7.550747142165926e-66,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1532,389,149,20972,0.38303341902313626,0.09725848563968668,query_1,['GO:0048870']
GO:BP,GO:0048522,positive regulation of cellular process,2.2347910102637627e-65,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5739,389,271,20972,0.6966580976863753,0.047220770169018995,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0040011,locomotion,8.08421832761843e-65,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1236,389,135,20972,0.34704370179948585,0.10922330097087378,query_1,['GO:0008150']
GO:BP,GO:0032101,regulation of response to external stimulus,1.3338845367688844e-63,True,"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]",1092,389,127,20972,0.3264781491002571,0.1163003663003663,query_1,"['GO:0009605', 'GO:0048583']"
GO:CC,GO:0031410,cytoplasmic vesicle,1.5128530718656253e-61,True,"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]",2548,393,177,22155,0.45038167938931295,0.0694662480376766,query_1,"['GO:0005737', 'GO:0097708']"
GO:CC,GO:0097708,intracellular vesicle,2.4619188828435806e-61,True,"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]",2556,393,177,22155,0.45038167938931295,0.06924882629107981,query_1,"['GO:0031982', 'GO:0043231']"
GO:BP,GO:0001816,cytokine production,2.5852561344135122e-61,True,"""The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]",786,389,109,20972,0.2802056555269923,0.138676844783715,query_1,"['GO:0010467', 'GO:0032501']"
GO:BP,GO:0001817,regulation of cytokine production,1.3159003724548646e-60,True,"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",780,389,108,20972,0.2776349614395887,0.13846153846153847,query_1,"['GO:0001816', 'GO:0010468', 'GO:0051239']"
GO:BP,GO:0051707,response to other organism,3.5095406799298616e-60,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1610,389,146,20972,0.37532133676092544,0.0906832298136646,query_1,"['GO:0043207', 'GO:0044419']"
GO:BP,GO:0043207,response to external biotic stimulus,4.4939258656331736e-60,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",1613,389,146,20972,0.37532133676092544,0.09051456912585244,query_1,"['GO:0009605', 'GO:0009607']"
GO:BP,GO:0002696,positive regulation of leukocyte activation,1.1509052635484536e-59,True,"""Any process that activates or increases the frequency, rate, or extent of leukocyte activation."" [GOC:add]",363,389,80,20972,0.20565552699228792,0.22038567493112948,query_1,"['GO:0002684', 'GO:0002694', 'GO:0045321', 'GO:0050867']"
GO:BP,GO:0002250,adaptive immune response,1.3102804396560656e-59,True,"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",761,389,106,20972,0.27249357326478146,0.1392904073587385,query_1,['GO:0006955']
GO:BP,GO:0009607,response to biotic stimulus,1.3852215607222823e-59,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1652,389,147,20972,0.37789203084832906,0.08898305084745763,query_1,['GO:0050896']
GO:BP,GO:0051249,regulation of lymphocyte activation,4.089332918572278e-59,True,"""Any process that modulates the frequency, rate or extent of lymphocyte activation."" [GOC:ai]",506,389,90,20972,0.23136246786632392,0.17786561264822134,query_1,"['GO:0002694', 'GO:0046649']"
GO:CC,GO:0016020,membrane,1.753741428053966e-58,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",9975,393,333,22155,0.8473282442748091,0.03338345864661654,query_1,['GO:0110165']
GO:BP,GO:0050867,positive regulation of cell activation,5.4836262247332284e-58,True,"""Any process that activates or increases the frequency, rate or extent of activation."" [GOC:ai]",380,389,80,20972,0.20565552699228792,0.21052631578947367,query_1,"['GO:0001775', 'GO:0048522', 'GO:0050865', 'GO:0051240']"
GO:BP,GO:0045785,positive regulation of cell adhesion,1.9563224435606005e-57,True,"""Any process that activates or increases the frequency, rate or extent of cell adhesion."" [GOC:go_curators]",483,389,87,20972,0.2236503856041131,0.18012422360248448,query_1,"['GO:0007155', 'GO:0030155', 'GO:0048522']"
GO:BP,GO:0050900,leukocyte migration,2.0410179238955928e-57,True,"""The movement of a leukocyte within or between different tissues and organs of the body."" [GOC:add, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]",386,389,80,20972,0.20565552699228792,0.20725388601036268,query_1,"['GO:0002376', 'GO:0016477']"
GO:BP,GO:0048870,cell motility,2.044350989895428e-57,True,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",1794,389,150,20972,0.3856041131105398,0.08361204013377926,query_1,['GO:0009987']
GO:BP,GO:1903037,regulation of leukocyte cell-cell adhesion,5.5343684108095e-56,True,"""Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",375,389,78,20972,0.20051413881748073,0.208,query_1,"['GO:0007159', 'GO:0022407']"
GO:BP,GO:0002443,leukocyte mediated immunity,9.705197460813112e-56,True,"""Any process involved in the carrying out of an immune response by a leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",475,389,85,20972,0.2185089974293059,0.17894736842105263,query_1,['GO:0002252']
GO:BP,GO:0042221,response to chemical,4.129777413533502e-55,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3863,389,212,20972,0.5449871465295629,0.05487962723272068,query_1,['GO:0050896']
GO:BP,GO:0002699,positive regulation of immune effector process,1.2732723925129562e-54,True,"""Any process that activates or increases the frequency, rate, or extent of an immune effector process."" [GOC:add]",256,389,67,20972,0.17223650385604114,0.26171875,query_1,"['GO:0002252', 'GO:0002684', 'GO:0002697']"
GO:BP,GO:0022407,regulation of cell-cell adhesion,2.3979460816471853e-54,True,"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell."" [GOC:isa_complete]",493,389,85,20972,0.2185089974293059,0.1724137931034483,query_1,"['GO:0030155', 'GO:0098609']"
GO:BP,GO:0030335,positive regulation of cell migration,5.1656107889129015e-54,True,"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]",544,389,88,20972,0.2262210796915167,0.16176470588235295,query_1,"['GO:0016477', 'GO:0030334', 'GO:2000147']"
GO:BP,GO:0002703,regulation of leukocyte mediated immunity,9.08560080459402e-54,True,"""Any process that modulates the frequency, rate, or extent of leukocyte mediated immunity."" [GOC:add]",252,389,66,20972,0.16966580976863754,0.2619047619047619,query_1,"['GO:0002443', 'GO:0002697']"
GO:BP,GO:1903039,positive regulation of leukocyte cell-cell adhesion,1.4910983759236186e-53,True,"""Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",276,389,68,20972,0.17480719794344474,0.2463768115942029,query_1,"['GO:0007159', 'GO:0022409', 'GO:1903037']"
GO:BP,GO:0002706,regulation of lymphocyte mediated immunity,1.5516283383814835e-53,True,"""Any process that modulates the frequency, rate, or extent of lymphocyte mediated immunity."" [GOC:add]",193,389,60,20972,0.15424164524421594,0.31088082901554404,query_1,"['GO:0002449', 'GO:0002703']"
GO:BP,GO:0040017,positive regulation of locomotion,2.3496931118763623e-53,True,"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]",586,389,90,20972,0.23136246786632392,0.15358361774744028,query_1,"['GO:0040011', 'GO:0040012', 'GO:0048518']"
GO:BP,GO:0051251,positive regulation of lymphocyte activation,8.630029985514167e-53,True,"""Any process that activates or increases the frequency, rate or extent of lymphocyte activation."" [GOC:ai]",331,389,72,20972,0.18508997429305912,0.2175226586102719,query_1,"['GO:0002696', 'GO:0046649', 'GO:0051249']"
GO:BP,GO:0006935,chemotaxis,1.3270893563561654e-52,True,"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]",456,389,81,20972,0.20822622107969152,0.17763157894736842,query_1,"['GO:0042221', 'GO:0042330']"
GO:BP,GO:0050863,regulation of T cell activation,1.5428316129164317e-52,True,"""Any process that modulates the frequency, rate or extent of T cell activation."" [GOC:ai]",386,389,76,20972,0.1953727506426735,0.19689119170984457,query_1,"['GO:0042110', 'GO:0051249']"
GO:BP,GO:0042330,taxis,1.9019099228186187e-52,True,"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]",458,389,81,20972,0.20822622107969152,0.17685589519650655,query_1,"['GO:0009605', 'GO:0040011']"
GO:BP,GO:2000147,positive regulation of cell motility,3.581622132217382e-52,True,"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]",571,389,88,20972,0.2262210796915167,0.15411558669001751,query_1,"['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']"
GO:BP,GO:0030334,regulation of cell migration,4.8878521483050876e-52,True,"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]",944,389,108,20972,0.2776349614395887,0.11440677966101695,query_1,"['GO:0016477', 'GO:2000145']"
GO:BP,GO:0022409,positive regulation of cell-cell adhesion,7.740460772034268e-52,True,"""Any process that activates or increases the rate or extent of cell adhesion to another cell."" [GOC:isa_complete]",328,389,71,20972,0.18251928020565553,0.21646341463414634,query_1,"['GO:0022407', 'GO:0045785', 'GO:0098609']"
GO:BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,4.43659922238461e-51,True,"""An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus."" [GOC:add, GOC:mtg_sensu, ISBN:0781735149, ISBN:1405196831]",389,389,75,20972,0.1928020565552699,0.1928020565552699,query_1,['GO:0002250']
GO:BP,GO:0002449,lymphocyte mediated immunity,6.233338805194341e-51,True,"""Any process involved in the carrying out of an immune response by a lymphocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",377,389,74,20972,0.19023136246786632,0.1962864721485411,query_1,['GO:0002443']
GO:BP,GO:0050870,positive regulation of T cell activation,1.0010216467640213e-50,True,"""Any process that activates or increases the frequency, rate or extent of T cell activation."" [GOC:ai]",255,389,64,20972,0.16452442159383032,0.25098039215686274,query_1,"['GO:0042110', 'GO:0050863', 'GO:0051251', 'GO:1903039']"
GO:CC,GO:0070062,extracellular exosome,1.7522698902305157e-50,True,"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]",2111,393,149,22155,0.3791348600508906,0.07058266224538133,query_1,"['GO:0005615', 'GO:1903561']"
GO:CC,GO:1903561,extracellular vesicle,1.759546855080085e-50,True,"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]",2141,393,150,22155,0.3816793893129771,0.07006071929005138,query_1,"['GO:0031982', 'GO:0065010']"
GO:CC,GO:0043230,extracellular organelle,1.8692694665590675e-50,True,"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]",2142,393,150,22155,0.3816793893129771,0.0700280112044818,query_1,"['GO:0005576', 'GO:0043226']"
